,number,name,type1,type2,h,a,b,c,d,s,abi1,abi2,abi3,weight,single,double,generation
493,641_1,トルネロス(けしん),ひこう,,79,115,70,125,80,111,いたずらごころ,,まけんき,63,2,4,5
494,641_2,トルネロス(れいじゅう),ひこう,,79,100,80,110,90,121,さいせいりょく,,,63,2,2,5
495,642_1,ボルトロス(けしん),でんき,ひこう,79,115,70,125,80,111,いたずらごころ,,まけんき,61,2,3,5
496,642_2,ボルトロス(れいじゅう),でんき,ひこう,79,105,70,145,80,101,ちくでん,,,61,3,2,5
497,643,レシラム,ドラゴン,ほのお,100,120,100,150,120,90,ターボブレイズ,,,330,0,0,5
498,644,ゼクロム,ドラゴン,でんき,100,150,120,120,100,90,テラボルテージ,,,345,0,0,5
499,645_1,ランドロス(けしん),じめん,ひこう,89,125,90,115,80,101,すなのちから,,ちからずく,68,3,3,5
500,645_2,ランドロス(れいじゅう),じめん,ひこう,89,145,90,105,80,91,いかく,,,68,4,4,5
501,646_1,キュレム,ドラゴン,こおり,125,130,90,130,90,95,プレッシャー,,,325,0,0,5
502,646_2,ホワイトキュレム,こおり,ほのお,125,120,90,170,100,95,ターボブレイズ,,,325,0,0,5
503,646_3,ブラックキュレム,こおり,でんき,125,170,100,120,90,95,テラボルテージ,,,325,0,0,5
504,647,ケルディオ,みず,かくとう,91,72,90,129,90,108,せいぎのこころ,,,48.5,0,0,5
505,648_1,メロエッタ(ボイス),ノーマル,エスパー,100,77,77,128,128,90,てんのめぐみ,,,6.5,0,0,5
506,648_2,メロエッタ(ステップ),ノーマル,かくとう,100,128,90,77,77,128,てんのめぐみ,,,6.5,0,0,5
507,650,ハリマロン,くさ,,56,61,65,48,45,38,しんりょく,,ぼうだん,9,0,0,6
508,651,ハリボーグ,くさ,,61,78,95,56,58,57,しんりょく,,ぼうだん,29,0,0,6
509,652,ブリガロン,くさ,かくとう,88,107,122,74,75,64,しんりょく,,ぼうだん,90,2,2,6
510,653,フォッコ,ほのお,,40,45,40,62,60,60,もうか,,マジシャン,9.4,0,0,6
511,654,テールナー,ほのお,,59,59,58,90,70,73,もうか,,マジシャン,14.5,0,0,6
512,655,マフォクシー,ほのお,エスパー,75,69,72,114,100,104,もうか,,マジシャン,39,2,2,6
513,656,ケロマツ,みず,,41,56,40,62,44,71,げきりゅう,,へんげんじざい,7,0,0,6
514,657,ゲコガシラ,みず,,54,63,52,83,56,97,げきりゅう,,へんげんじざい,10.9,0,0,6
515,658,ゲッコウガ,みず,あく,72,95,67,103,71,122,げきりゅう,,へんげんじざい,40,3,2,6
516,661,ヤヤコマ,ノーマル,ひこう,45,50,43,40,38,62,はとむね,,はやてのつばさ,1.7,0,0,6
517,662,ヒノヤコマ,ほのお,ひこう,62,73,55,56,52,84,ほのおのからだ,,はやてのつばさ,16,0,0,6
518,663,ファイアロー,ほのお,ひこう,78,81,71,74,69,126,ほのおのからだ,,はやてのつばさ,24.5,2,3,6
519,664,コフキムシ,むし,,38,35,40,27,25,35,りんぷん,ふくがん,フレンドガード,2.5,0,0,6
520,665,コフーライ,むし,,45,22,60,27,30,29,だっぴ,,フレンドガード,8.4,0,0,6
521,666,ビビヨン,むし,ひこう,80,52,50,90,50,89,りんぷん,ふくがん,フレンドガード,17,1,1,6
522,667,シシコ,ほのお,ノーマル,62,50,58,73,54,72,とうそうしん,きんちょうかん,じしんかじょう,13.5,0,0,6
523,668_1,カエンジシ(オス),ほのお,ノーマル,86,68,72,109,66,106,とうそうしん,きんちょうかん,じしんかじょう,81.5,1,1,6
524,668_2,カエンジシ(メス),ほのお,ノーマル,86,68,72,109,66,106,とうそうしん,きんちょうかん,じしんかじょう,81.5,1,1,6
525,669,フラベベ,フェアリー,,44,38,39,61,79,42,フラワーベール,,きょうせい,0.1,0,0,6
526,670,フラエッテ,フェアリー,,54,45,47,75,98,52,フラワーベール,,きょうせい,0.9,0,0,6
527,671,フラージェス,フェアリー,,78,65,68,112,154,75,フラワーベール,,きょうせい,10,1,1,6
528,672,メェークル,くさ,,66,65,48,62,57,52,そうしょく,,くさのけがわ,31,0,0,6
529,673,ゴーゴート,くさ,,123,100,62,97,81,68,そうしょく,,くさのけがわ,91,1,1,6
530,677,ニャスパー,エスパー,,92,48,54,63,60,68,するどいめ,すりぬけ,マイペース,3.5,0,0,6
531,678_1,ニャオニクス♂,エスパー,,74,48,76,83,81,104,するどいめ,すりぬけ,いたずらごころ,8.5,0,0,6
532,678_2,ニャオニクス♀,エスパー,,74,48,76,83,81,104,するどいめ,すりぬけ,かちき,8.5,0,0,6
533,686,マーイーカ,あく,エスパー,53,54,53,37,46,45,あまのじゃく,きゅうばん,すりぬけ,3.5,0,0,6
534,687,カラマネロ,あく,エスパー,86,92,88,68,75,73,あまのじゃく,きゅうばん,すりぬけ,47,0,0,6
535,690,クズモー,どく,みず,50,60,60,60,60,30,どくのトゲ,どくしゅ,てきおうりょく,7.3,0,0,6
536,691,ドラミドロ,どく,ドラゴン,65,75,90,97,123,44,どくのトゲ,どくしゅ,てきおうりょく,81.5,1,1,6
537,692,ウデッポウ,みず,,50,53,62,58,63,44,メガランチャー,,,8.3,0,0,6
538,693,ブロスター,みず,,71,73,88,120,89,59,メガランチャー,,,35.3,1,1,6
539,700,ニンフィア,フェアリー,,95,65,65,110,130,60,メロメロボディ,,フェアリースキン,23.5,3,4,6
540,701,ルチャブル,かくとう,ひこう,78,92,75,74,63,118,じゅうなん,かるわざ,かたやぶり,21.5,1,1,6
541,702,デデンネ,でんき,フェアリー,67,58,57,81,67,101,ほおぶくろ,ものひろい,プラス,2.2,0,0,6
542,703,メレシー,いわ,フェアリー,50,50,150,50,150,50,クリアボディ,,がんじょう,5.7,1,1,6
543,704,ヌメラ,ドラゴン,,45,50,35,55,75,40,そうしょく,うるおいボディ,ぬめぬめ,2.8,0,0,6
544,705_1,ヌメイル(通常),ドラゴン,,68,75,53,83,113,60,そうしょく,うるおいボディ,ぬめぬめ,17.5,0,0,6
545,705_2,ヌメイル(ヒスイ),はがね,ドラゴン,58,75,83,83,113,40,そうりょく,シェルアーマー,ぬめぬめ,68.5,0,0,8.5
546,706_1,ヌメルゴン(通常),ドラゴン,,90,100,70,110,150,80,そうしょく,うるおいボディ,ぬめぬめ,150.5,2,2,6
547,706_2,ヌメルゴン(ヒスイ),はがね,ドラゴン,80,100,100,110,150,60,そうりょく,シェルアーマー,ぬめぬめ,334.1,4,4,8.5
548,707,クレッフィ,はがね,フェアリー,57,80,91,80,87,75,いたずらごころ,,マジシャン,3,2,2,6
549,708,ボクレー,ゴースト,くさ,43,70,48,50,60,38,しぜんかいふく,おみとおし,しゅうかく,7,0,0,6
550,709,オーロット,ゴースト,くさ,85,110,76,65,82,56,しぜんかいふく,おみとおし,しゅうかく,71,1,1,6
551,712,カチコール,こおり,,55,69,85,32,35,28,マイペース,アイスボディ,がんじょう,99.5,0,0,6
552,713_1,クレベース(通常),こおり,,95,117,184,44,46,28,マイペース,アイスボディ,がんじょう,505.5,2,2,6
553,713_2,クレベース(ヒスイ),こおり,いわ,95,127,184,34,36,38,がんじょうあご,アイスボディ,がんじょう,262.4,2,2,8.5
554,714,オンバット,ひこう,ドラゴン,40,30,35,45,40,55,おみとおし,すりぬけ,テレパシー,8,0,0,6
555,715,オンバーン,ひこう,ドラゴン,85,70,80,97,80,123,おみとおし,すりぬけ,テレパシー,85,1,1,6
556,719,ディアンシー,いわ,フェアリー,50,100,150,100,150,50,クリアボディ,,,8.8,0,0,6
557,720_1,フーパ(いましめられしフーパ),エスパー,ゴースト,80,110,60,150,130,70,マジシャン,,,9,0,0,6
558,720_2,フーパ(ときはなたれしフーパ),エスパー,あく,80,160,60,170,130,80,マジシャン,,,490,0,0,6
559,721,ボルケニオン,ほのお,みず,80,110,120,130,90,70,ちょすい,,,195,0,0,6
560,722,モクロー,くさ,ひこう,68,55,55,50,50,42,しんりょく,,えんかく,1.5,0,0,7
561,723,フクスロー,くさ,ひこう,78,75,75,70,70,52,しんりょく,,えんかく,16,0,0,7
562,724_1,ジュナイパー(通常),くさ,ゴースト,78,107,75,100,100,70,しんりょく,,えんかく,36.6,2,2,7
563,724_2,ジュナイパー(ヒスイ),くさ,かくとう,88,112,80,95,95,60,しんりょく,,きもったま,37,2,2,8.5
564,725,ニャビー,ほのお,,45,65,40,60,40,70,もうか,,いかく,4.3,0,0,7
565,726,ニャヒート,ほのお,,65,85,50,80,50,90,もうか,,いかく,25,0,0,7
566,727,ガオガエン,ほのお,あく,95,115,90,80,90,60,もうか,,いかく,83.0,0,0,7
567,728,アシマリ,みず,,50,54,54,66,56,40,げきりゅう,,うるおいボイス,7.5,0,0,7
568,729,オシャマリ,みず,,60,69,69,91,81,50,げきりゅう,,うるおいボイス,17.5,0,0,7
569,730,アシレーヌ,みず,フェアリー,80,74,74,126,116,60,げきりゅう,,うるおいボイス,44.4,0,0,7
570,731,ツツケラ,ノーマル,ひこう,35,75,30,30,30,65,するどいめ,スキルリンク,ものひろい,1.2,0,0,7
571,732,ケケラッパ,ノーマル,ひこう,55,85,50,40,50,75,するどいめ,スキルリンク,ものひろい,14.8,0,0,7
572,733,ドデカバシ,ノーマル,ひこう,80,120,75,75,75,60,するどいめ,スキルリンク,ちからずく,26,0,0,7
573,734,ヤングース,ノーマル,,48,70,30,30,30,45,はりこみ,がんじょうあご,てきおうりょく,6,0,0,7
574,735,デカグース,ノーマル,,88,110,60,55,60,45,はりこみ,がんじょうあご,てきおうりょく,14.2,1,1,7
575,736,アゴジムシ,むし,,47,62,45,55,45,46,むしのしらせ,,,4.4,0,0,7
576,737,デンヂムシ,むし,でんき,57,82,95,55,75,36,バッテリー,,,10.5,0,0,7
577,738,クワガノン,むし,でんき,77,70,90,145,75,43,ふゆう,,,45,4,3,7
578,739,マケンカニ,かくとう,,47,82,57,42,47,63,かいりきバサミ,てつのこぶし,いかりのつぼ,7,0,0,7
579,740,ケケンカニ,かくとう,こおり,97,132,77,62,67,43,かいりきバサミ,てつのこぶし,いかりのつぼ,180,1,1,7
580,741_1,オドリドリ(めらめら),ほのお,ひこう,75,70,70,98,70,93,おどりこ,,,3.4,1,1,7
581,741_2,オドリドリ(ぱちぱち),でんき,ひこう,75,70,70,98,70,93,おどりこ,,,3.4,1,1,7
582,741_3,オドリドリ(ふらふら),エスパー,ひこう,75,70,70,98,70,93,おどりこ,,,3.4,1,1,7
583,741_4,オドリドリ(まいまい),ゴースト,ひこう,75,70,70,98,70,93,おどりこ,,,3.4,1,1,7
584,742,アブリー,むし,フェアリー,40,45,40,55,40,84,みつあつめ,りんぷん,スイートベール,0.2,0,0,7
585,743,アブリボン,むし,フェアリー,60,55,60,95,70,124,みつあつめ,りんぷん,スイートベール,0.5,3,2,7
586,744,イワンコ,いわ,,45,65,40,30,40,60,するどいめ,,,9.2,0,0,7
587,745_1,ルガルガン(まひる),いわ,,75,115,65,55,65,112,するどいめ,すなかき,ふくつのこころ,25,2,2,7
588,745_2,ルガルガン(まよなか),いわ,,85,115,75,55,75,82,するどいめ,やるき,ノーガード,25,2,2,7
589,745_3,ルガルガン(たそがれ),いわ,,75,117,65,55,65,110,かたいツメ,,ふくつのこころ,25,2,2,7
590,747,ヒドイデ,どく,みず,50,53,62,43,52,45,ひとでなし,じゅうなん,さいせいりょく,8,0,0,7
591,748,ドヒドイデ,どく,みず,50,63,152,53,142,35,ひとでなし,じゅうなん,さいせいりょく,14.5,4,2,7
592,749,ドロバンコ,じめん,,70,100,70,45,55,45,マイペース,じきゅうりょく,せいしんりょく,110,0,0,7
593,750,バンバドロ,じめん,,100,125,100,55,85,35,マイペース,じきゅうりょく,せいしんりょく,920,1,1,7
594,751,シズクモ,みず,むし,38,40,52,40,72,27,すいほう,,ちょすい,4,0,0,7
595,752,オニシズクモ,みず,むし,68,70,92,50,132,42,すいほう,,ちょすい,82,0,0,7
596,753,カリキリ,くさ,,40,55,35,50,35,35,リーフガード,,あまのじゃく,1.5,0,0,7
597,754,ラランテス,くさ,,70,105,90,80,90,45,リーフガード,,あまのじゃく,18.5,1,1,7
598,757,ヤトウモリ,どく,ほのお,48,44,40,71,40,77,ふしょく,,どんかん,4.8,0,0,7
599,758,エンニュート,どく,ほのお,68,64,60,111,60,117,ふしょく,,どんかん,22.2,1,1,7
600,761,アマカジ,くさ,,42,30,38,30,38,32,リーフガード,どんかん,スイートベール,3.2,0,0,7
601,762,アママイコ,くさ,,52,40,48,40,48,62,リーフガード,どんかん,スイートベール,8.2,0,0,7
602,763,アマージョ,くさ,,72,120,98,50,98,72,リーフガード,じょおうのいげん,スイートベール,21.4,2,2,7
603,764,キュワワー,フェアリー,,51,52,90,82,110,100,フラワーベール,ヒーリングシフト,しぜんかいふく,0.3,0,0,7
604,765,ヤレユータン,ノーマル,エスパー,90,60,80,90,110,60,せいしんりょく,テレパシー,きょうせい,76,2,4,7
605,766,ナゲツケサル,かくとう,,100,120,90,40,60,80,レシーバー,,まけんき,82.8,1,1,7
606,769,スナバァ,ゴースト,じめん,55,55,80,70,45,15,みずがため,,すながくれ,70,0,0,7
607,770,シロデスナ,ゴースト,じめん,85,75,110,100,75,35,みずがため,,すながくれ,250,1,1,7
608,774_1,メテノ(りゅうせい),いわ,ひこう,60,60,100,60,100,60,リミットシールド,,,40,0,0,7
609,774_2,メテノ(コア),いわ,ひこう,60,100,60,100,60,120,リミットシールド,,,0.3,0,0,7
610,775,ネッコアラ,ノーマル,,65,115,65,75,95,65,ぜったいねむり,,,19.9,1,1,7
611,778,ミミッキュ,ゴースト,フェアリー,55,90,80,50,105,96,ばけのかわ,,,0.7,4,3,7
612,779,ハギギシリ,みず,エスパー,68,105,70,70,70,92,ビビッドボディ,がんじょうあご,ミラクルスキン,19,1,3,7
613,782,ジャラコ,ドラゴン,,45,55,65,45,45,45,ぼうだん,ぼうおん,ぼうじん,29.7,0,0,7
614,783,ジャランゴ,ドラゴン,かくとう,55,75,90,65,70,65,ぼうだん,ぼうおん,ぼうじん,47,0,0,7
615,784,ジャラランガ,ドラゴン,かくとう,75,110,125,100,105,85,ぼうだん,ぼうおん,ぼうじん,78.2,4,4,7
616,789,コスモッグ,エスパー,,43,29,31,29,31,37,てんねん,,,0.1,0,0,7
617,790,コスモウム,エスパー,,43,29,131,29,131,37,がんじょう,,,999.9,0,0,7
618,791,ソルガレオ,エスパー,はがね,137,137,107,113,89,97,メタルプロテクト,,,230,0,0,7
619,792,ルナアーラ,エスパー,ゴースト,137,113,89,137,107,97,ファントムガード,,,120,0,0,7
620,800_1,ネクロズマ,エスパー,,97,107,101,127,89,79,プリズムアーマー,,,230,0,0,7
621,800_2,ネクロズマ(日食),エスパー,はがね,97,157,127,113,109,77,プリズムアーマー,,,460,0,0,7
622,800_3,ネクロズマ(月食),エスパー,ゴースト,97,113,109,157,127,77,プリズムアーマー,,,350,0,0,7
623,801,マギアナ,はがね,フェアリー,80,95,115,130,115,65,ソウルハート,,,80.5,0,0,7
624,810,サルノリ,くさ,,50,65,50,40,40,65,しんりょく,,グラスメイカー,5,0,0,8
625,811,バチンキー,くさ,,70,85,70,55,60,80,しんりょく,,グラスメイカー,14,0,0,8
626,812,ゴリランダー,くさ,,100,125,90,60,70,85,しんりょく,,グラスメイカー,90,4,4,8
627,813,ヒバニー,ほのお,,50,71,40,40,40,69,もうか,,リベロ,4.5,0,0,8
628,814,ラビフット,ほのお,,65,86,60,55,60,94,もうか,,リベロ,9,0,0,8
629,815,エースバーン,ほのお,,80,116,75,65,75,119,もうか,,リベロ,33,3,2,8
630,816,メッソン,みず,,50,40,40,70,40,70,げきりゅう,,スナイパー,4,0,0,8
631,817,ジメレオン,みず,,65,60,55,95,55,90,げきりゅう,,スナイパー,11.5,0,0,8
632,818,インテレオン,みず,,70,85,65,125,65,120,げきりゅう,,スナイパー,45.2,2,2,8
633,819,ホシガリス,ノーマル,,70,55,55,35,35,25,ほおぶくろ,,くいしんぼう,2.5,0,0,8
634,820,ヨクバリス,ノーマル,,120,95,95,55,75,20,ほおぶくろ,,くいしんぼう,6,1,1,8
635,821,ココガラ,ひこう,,38,47,35,33,35,57,するどいめ,きんちょうかん,はとむね,1.8,0,0,8
636,822,アオガラス,ひこう,,68,67,55,43,55,77,するどいめ,きんちょうかん,はとむね,16,0,0,8
637,823,アーマーガア,ひこう,はがね,98,87,105,53,85,67,プレッシャー,きんちょうかん,ミラーアーマー,75,4,3,8
638,833,カムカメ,みず,,50,64,50,38,38,44,がんじょうあご,シェルアーマー,すいすい,8.5,0,0,8
639,834,カジリガメ,みず,いわ,90,115,90,48,68,74,がんじょうあご,シェルアーマー,すいすい,115.5,1,1,8
640,837,タンドン,いわ,,30,40,50,40,50,30,じょうききかん,たいねつ,もらいび,12,0,0,8
641,838,トロッゴン,いわ,ほのお,80,60,90,60,70,50,じょうききかん,ほのおのからだ,もらいび,78,0,0,8
642,839,セキタンザン,いわ,ほのお,110,80,120,80,90,30,じょうききかん,ほのおのからだ,もらいび,310.5,1,1,8
643,840,カジッチュ,くさ,ドラゴン,40,40,80,40,40,20,じゅくせい,くいしんぼう,ぼうだん,0.5,0,0,8
644,841,アップリュー,くさ,ドラゴン,70,110,80,95,60,70,じゅくせい,くいしんぼう,はりきり,1,1,1,8
645,842,タルップル,くさ,ドラゴン,110,85,80,100,80,30,じゅくせい,くいしんぼう,あついしぼう,13,1,1,8
646,843,スナヘビ,じめん,,52,57,75,35,50,46,すなはき,だっぴ,すながくれ,7.6,0,0,8
647,844,サダイジャ,じめん,,72,107,125,65,70,71,すなはき,だっぴ,すながくれ,65.5,1,1,8
648,845,ウッウ,ひこう,みず,70,85,55,85,95,85,うのミサイル,,,18,1,1,8
649,846,サシカマス,みず,,41,63,40,40,30,66,すいすい,,スクリューおびれ,1,0,0,8
650,847,カマスジョー,みず,,61,123,60,60,50,136,すいすい,,スクリューおびれ,30,1,1,8
651,848,エレズン,でんき,どく,40,38,35,54,35,40,びびり,せいでんき,ぶきよう,11,0,0,8
652,849_1,ストリンダー(ハイ),でんき,どく,75,98,70,114,70,75,パンクロック,プラス,テクニシャン,40,1,1,8
653,849_2,ストリンダー(ロー),でんき,どく,75,98,70,114,70,75,パンクロック,プラス,テクニシャン,40,1,1,8
654,854,ヤバチャ,ゴースト,,40,45,45,74,54,50,くだけるよろい,,のろわれボディ,0.2,0,0,8
655,855,ポットデス,ゴースト,,60,65,65,134,114,70,くだけるよろい,,のろわれボディ,0.4,2,2,8
656,856,ミブリム,エスパー,,42,30,45,56,53,39,いやしのこころ,きけんよち,マジックミラー,3.4,0,0,8
657,857,テブリム,エスパー,,57,40,65,86,73,49,いやしのこころ,きけんよち,マジックミラー,4.8,0,0,8
658,858,ブリムオン,エスパー,フェアリー,57,90,95,136,103,29,いやしのこころ,きけんよち,マジックミラー,5.1,2,3,8
659,859,ベロバー,あく,フェアリー,45,45,30,55,40,50,いたずらごころ,おみとおし,わるいてぐせ,5.5,0,0,8
660,860,ギモー,あく,フェアリー,65,60,45,75,55,70,いたずらごころ,おみとおし,わるいてぐせ,12.5,0,0,8
661,861,オーロンゲ,あく,フェアリー,95,120,65,95,75,60,いたずらごころ,おみとおし,わるいてぐせ,61,3,4,8
662,863,ニャイキング,はがね,,70,110,100,50,60,50,カブトアーマー,かたいツメ,はがねのせいしん,28,1,1,8
663,868,マホミル,フェアリー,,45,40,40,50,61,34,スイートベール,,アロマベール,0.3,0,0,8
664,869,マホイップ,フェアリー,,65,60,75,110,121,64,スイートベール,,アロマベール,0.5,0,0,8
665,870,タイレーツ,かくとう,,65,100,100,70,60,75,カブトアーマー,,まけんき,62,1,1,8
666,871,バチンウニ,でんき,,48,101,95,91,85,15,ひらいしん,,エレキメイカー,1,1,1,8
667,872,ユキハミ,こおり,むし,30,25,35,45,30,20,りんぷん,,こおりのりんぷん,3.8,0,0,8
668,873,モスノウ,こおり,むし,70,65,60,125,90,65,りんぷん,,こおりのりんぷん,42,1,1,8
669,874,イシヘンジン,いわ,,100,125,135,20,20,70,パワースポット,,,520,1,1,8
670,875_1,コオリッポ(アイスフェイス),こおり,,75,80,110,65,90,50,アイスフェイス,,,89,1,1,8
671,875_2,コオリッポ(ナイスフェイス),こおり,,75,80,70,65,50,130,アイスフェイス,,,89,0,0,8
672,876_1,イエッサン(オス),エスパー,ノーマル,60,65,55,105,95,95,せいしんりょく,シンクロ,サイコメイカー,28,1,1,8
673,876_2,イエッサン(メス),エスパー,ノーマル,70,55,65,95,105,85,マイペース,シンクロ,サイコメイカー,28,2,4,8
674,877,モルペコ,でんき,あく,58,95,58,70,58,97,はらぺこスイッチ,,,3,1,1,8
675,878,ゾウドウ,はがね,,72,80,49,40,49,40,ちからずく,,ヘヴィメタル,100,0,0,8
676,879,ダイオウドウ,はがね,,122,130,69,80,69,30,ちからずく,,ヘヴィメタル,650,1,1,8
677,884,ジュラルドン,はがね,ドラゴン,70,95,115,120,50,85,ライトメタル,ヘヴィメタル,すじがねいり,40,0,0,8
678,885,ドラメシヤ,ドラゴン,ゴースト,28,60,30,40,30,82,クリアボディ,すりぬけ,のろわれボディ,2,0,0,8
679,886,ドロンチ,ドラゴン,ゴースト,68,80,50,60,50,102,クリアボディ,すりぬけ,のろわれボディ,11,0,0,8
680,887,ドラパルト,ドラゴン,ゴースト,88,120,75,100,75,142,クリアボディ,すりぬけ,のろわれボディ,50,4,3,8
681,888_1,ザシアン(れきせんのゆうしゃ),フェアリー,,92,120,115,80,115,138,ふとうのけん,,,110,0,0,8
682,888_2,ザシアン(けんのおう),フェアリー,はがね,92,150,115,80,115,148,ふとうのけん,,,355,0,0,8
683,889_1,ザマゼンタ(れきせんのゆうしゃ),かくとう,,92,120,115,80,115,138,ふくつのたて,,,210,0,0,8
684,889_2,ザマゼンタ(たてのおう),かくとう,はがね,92,120,140,80,140,128,ふくつのたて,,,785,0,0,8
685,890,ムゲンダイナ,どく,ドラゴン,140,85,95,145,95,130,プレッシャー,,,950,0,0,8
686,891,ダクマ,かくとう,,60,90,60,53,50,72,せいしんりょく,,,12,0,0,8
687,892_1,ウーラオス(いちげきのかた),かくとう,あく,100,130,100,63,60,97,ふかしのこぶし,,,105,4,4,8
688,892_2,ウーラオス(れんげきのかた),かくとう,みず,100,130,100,63,60,97,ふかしのこぶし,,,105,4,4,8
689,893,ザルード,あく,くさ,105,120,105,70,95,105,リーフガード,,,70,0,0,8
690,894,レジエレキ,でんき,,80,100,50,100,50,200,トランジスタ,,,145,3,3,8
691,895,レジドラゴ,ドラゴン,,200,100,50,100,50,80,りゅうのあぎと,,,200,2,3,8
692,896,ブリザポス,こおり,,100,145,130,65,110,30,しろのいななき,,,800,2,3,8
693,897,レイスポス,ゴースト,,100,65,60,145,80,130,くろのいななき,,,44.5,2,2,8
694,898_1,バドレックス(通常),エスパー,くさ,100,80,80,80,80,80,きんちょうかん,,,7.7,0,0,8
695,898_2,バドレックス(はくばじょう),エスパー,こおり,100,165,150,85,130,50,じんばいったい,,,809.1,0,0,8
696,898_3,バドレックス(こくばじょう),エスパー,ゴースト,100,85,80,165,100,150,じんばいったい,,,53.6,0,0,8
697,899,アヤシシ,ノーマル,エスパー,103,105,72,105,75,65,いかく,おみとおし,そうしょく,95.1,2,2,8.5
698,900,バサギリ,むし,いわ,70,135,95,45,70,85,むしのしらせ,ちからずく,きれあじ,89,3,2,8.5
699,901_1,ガチグマ(通常),じめん,ノーマル,130,140,105,45,80,50,こんじょう,ぼうだん,きんちょうかん,290,3,4,8.5
700,901_2,ガチグマ(アカツキ),じめん,ノーマル,113,70,120,135,65,52,しんがん,,,333,4,4,9
701,902_1,イダイトウ(オス),みず,ゴースト,120,112,65,80,75,78,すいすい,てきおうりょく,かたやぶり,110,4,4,8.5
702,902_2,イダイトウ(メス),みず,ゴースト,120,92,65,100,75,78,すいすい,てきおうりょく,かたやぶり,110,1,1,8.5
703,903,オオニューラ,かくとう,どく,80,130,60,40,80,120,プレッシャー,かるわざ,どくしゅ,43,4,3,8.5
704,904,ハリーマン,あく,どく,85,115,95,65,65,85,どくのトゲ,すいすい,いかく,60.5,2,2,8.5
705,905_1,ラブトロス(けしん),フェアリー,ひこう,74,115,70,135,80,106,メロメロボディ,,あまのじゃく,48,2,2,8.5
706,905_2,ラブトロス(れいじゅう),フェアリー,ひこう,74,115,110,135,100,46,ぼうじん,,,48,2,3,8.5
707,906,ニャオハ,くさ,,40,61,54,45,45,65,しんりょく,,へんげんじざい,4.1,0,0,9
708,907,ニャローテ,くさ,,61,80,63,60,63,83,しんりょく,,へんげんじざい,12.2,0,0,9
709,908,マスカーニャ,くさ,あく,76,110,70,81,70,123,しんりょく,,へんげんじざい,31.2,4,3,9
710,909,ホゲータ,ほのお,,67,45,59,63,40,36,もうか,,てんねん,9.8,0,0,9
711,910,アチゲータ,ほのお,,81,55,78,90,58,49,もうか,,てんねん,30.7,0,0,9
712,911,ラウドボーン,ほのお,ゴースト,104,75,100,110,75,66,もうか,,てんねん,326.5,4,2,9
713,912,クワッス,みず,,55,65,45,50,45,50,げきりゅう,,じしんかじょう,6.1,0,0,9
714,913,ウェルカモ,みず,,70,85,65,65,60,65,げきりゅう,,じしんかじょう,21.5,0,0,9
715,914,ウェーニバル,みず,かくとう,85,120,80,85,75,85,げきりゅう,,じしんかじょう,61.9,2,2,9
716,915,グルトン,ノーマル,,54,45,40,35,45,35,アロマベール,くいしんぼう,あついしぼう,10.2,0,0,9
717,916_1,パフュートン(オス),ノーマル,,110,100,75,59,80,65,とれないにおい,くいしんぼう,あついしぼう,120,1,1,9
718,916_2,パフュートン(メス),ノーマル,,110,100,75,59,80,65,とれないにおい,くいしんぼう,あついしぼう,120,1,1,9
719,917,タマンチュラ,むし,,35,41,45,29,40,20,ふみん,,はりこみ,4,0,0,9
720,918,ワナイダー,むし,,60,79,92,52,86,35,ふみん,,はりこみ,16.5,1,1,9
721,919,マメバッタ,むし,,33,46,40,21,25,45,むしのしらせ,,いろめがね,1,0,0,9
722,920,エクスレッグ,むし,あく,71,102,78,52,55,92,むしのしらせ,,いろめがね,17.5,1,1,9
723,921,パモ,でんき,,45,50,20,40,25,60,せいでんき,しぜんかいふく,てつのこぶし,2.5,0,0,9
724,922,パモット,でんき,かくとう,60,75,40,50,40,85,ちくでん,しぜんかいふく,てつのこぶし,6.5,0,0,9
725,923,パーモット,でんき,かくとう,70,115,70,70,60,105,ちくでん,しぜんかいふく,てつのこぶし,41,2,2,9
726,924,ワッカネズミ,ノーマル,,50,50,45,40,45,75,にげあし,ものひろい,マイペース,1.8,0,0,9
727,925_1,イッカネズミ(4ひき),ノーマル,,74,75,70,65,75,111,フレンドガード,ほおぶくろ,テクニシャン,2.8,2,4,9
728,925_2,イッカネズミ(3ひき),ノーマル,,74,75,70,65,75,111,フレンドガード,ほおぶくろ,テクニシャン,2.3,2,4,9
729,926,パピモッチ,フェアリー,,37,55,70,30,55,65,マイペース,,ぶきよう,10.9,0,0,9
730,927,バウッツェル,フェアリー,,57,80,115,50,80,95,こんがりボディ,,アロマベール,14.9,1,1,9
731,928,ミニーブ,くさ,ノーマル,41,35,45,58,51,30,はやおき,,しゅうかく,6.5,0,0,9
732,929,オリーニョ,くさ,ノーマル,52,53,60,78,78,33,はやおき,,しゅうかく,11.9,0,0,9
733,930,オリーヴァ,くさ,ノーマル,78,69,90,125,109,39,こぼれダネ,,しゅうかく,48.2,2,2,9
734,931_1,イキリンコ(みどり),ノーマル,ひこう,82,96,51,45,51,92,いかく,はりきり,こんじょう,2.4,1,1,9
735,931_2,イキリンコ(あお),ノーマル,ひこう,82,96,51,45,51,92,いかく,はりきり,こんじょう,2.4,1,1,9
736,931_3,イキリンコ(きいろ),ノーマル,ひこう,82,96,51,45,51,92,いかく,はりきり,ちからずく,2.4,1,1,9
